"","ADH1C","TNC","MYH11","KPNA2","C1QC","GNAO1","CBR1","PCNA","SHMT2","MRTO4","IDH1"
"PDAC_90T",-0.908349956377496,-0.618162568852214,-0.329160368428604,0.0132889770643381,-1.00532844502994,-0.858683409826632,-1.06856974208368,-0.765843356985749,-1.1512746886061,-0.907038835687605,-1.533374677135
"PDAC_91T",-0.910558649446078,0.157055958815716,-0.305173782783579,-0.286487805899389,0.347468341166205,-0.372260569169881,-0.170882345611675,0.170265493164457,-0.447519703665595,-0.765887979474752,-0.826173289476355
"PDAC_92T",0.558832537929912,-0.165883345112434,-0.347305294375619,-0.144488277127097,0.44133859060206,0.328777689823666,0.669658324577237,1.36829329013418,0.112888915955674,-0.433906536443809,0.699878623694422
"PDAC_93T",-0.415956710838219,0.0365634265440347,-0.325817630304652,-0.307524773124914,0.283001893267587,0.643236776131059,-0.246114557110553,0.194605919361884,0.414998275918076,-0.413430431261921,1.62898285082619
"PDAC_94T",-0.42798827571181,-0.445841344943671,-0.31579132934901,-0.535926131573468,-0.203603282738253,0.0143186035162727,-1.05389125565266,-0.516613353659313,-0.293353410426354,3.45067915564475,-0.086435454936545
"PDAC_95T",0.365252215169059,-0.256424186596581,-0.181670419905163,-0.00737233003215935,0.293653836465981,-1.01106617298176,0.215925583085099,0.123420148318918,-0.123629050896914,-0.102428604196028,-0.836254604308681
"PDAC_96T",-0.321491489529984,0.0391905983899583,-0.307355077266295,-0.374016615962733,-0.853815648806939,0.488269063643363,-0.844451683690653,-0.388846067291838,-0.628205428081311,-0.0712109356400344,-0.52702308705779
"PDAC_97T",0.0123263122103753,-0.362061607474768,-0.351281373266043,-0.208350499061726,1.04400556437374,-0.842010486631542,0.125486800343562,0.477194277280202,0.60583210266399,1.17816715431059,-0.299054371710976
"PDAC_98T",0.221599980458521,0.136482885169329,-0.278627046245681,0.325838204414991,-0.621692053275251,-0.101551750316271,3.12658142822132,2.86965866079709,3.24787463267227,-0.237873004866387,-0.724064378935942
"PDAC_99T",-0.49326096823859,0.116122303363421,-0.375664036067141,-0.132467152998226,-0.786852651721196,-0.0594816999286603,-0.620640255188256,-0.290686315741561,0.103730872389398,-0.108302896666242,-0.805241745968559
"PDAC_100T",-0.321491489529984,-0.52780524304848,-0.223960745042875,-0.421349792220163,-0.584299294339219,-0.546227659251982,-0.563766088807943,-0.61006462932222,-0.553385272922083,-0.282349790712292,-0.433357989646713
"PDAC_101T",-0.519852470314281,-0.576794270998938,-0.379203856061022,2.96522627096029,-0.00410126325164974,-1.08409099162692,-0.438405568522584,3.207551659223,2.72187055509728,5.06342419411003,-0.671450737261584
"PDAC_102T",-0.479776315819878,0.829013110730817,0.467354619264884,-0.319545897253785,-0.917671829126483,0.992334183494918,0.497514032645772,0.15207002702343,2.36035766929957,0.362647522517188,-1.14158459576288
"PDAC_103T",-0.742087679464895,-0.542950116042628,-0.354101748763871,-0.449148641768178,-0.947463982759494,1.78992030006003,-0.430177666457381,-0.735916603464323,-0.76921808345702,-0.282349790712292,-0.658478875944848
"PDAC_104T",-0.321491489529984,3.29391846028858,-0.147600130818108,2.58280425961057,-0.859030662664486,-0.554241002182956,-0.791756769152984,0.370415620715754,-0.272385380176154,0.089744678043825,-1.15286199879565
"PDAC_105T",-0.32217444067619,-0.668503817605721,-0.394304536813299,-0.430741295445844,-1.05525942877242,-0.70513741947185,-0.123757874087093,-0.273767724417448,6.09454109363822,-0.286210040049861,0.561160870733232
"PDAC_106T",-0.321491489529984,-0.105825424017018,-0.320563389384005,-0.399937164865612,0.465693814894223,0.550630966291664,0.368729478581725,-0.141212157486545,-0.554375331686005,-0.282349790712292,-0.314945257802608
"PDAC_107T",-0.808580965529575,-0.0986200188807713,-0.37625528167693,-0.286487805899389,2.118464855641,-0.249249292806108,0.815017927729155,-0.303135845206474,0.114656878034105,-0.743733505015659,-0.00723732909276094
"PDAC_108T",-0.155272805243736,-0.388652063694723,0.299699177273596,-0.337201923318065,1.5430934863152,-0.203140259086353,-0.253723521063191,-0.438564380475434,-0.603524677466405,-0.577071435789307,-0.181439032000502
"PDAC_109T",-0.628223739429312,-0.0219973929480058,-0.262374488933233,-0.40143980538172,0.131267181561285,-0.57879802084239,-0.42398260700042,-0.307604907065674,-0.473013716836579,0.551128392347193,-0.0519624843022765
"PDAC_110T",0.260164923905999,-0.612009964198341,-0.307355077266295,-0.498360118670745,2.1722238814704,0.182211062666829,-0.380282169254525,-0.441836372193777,-0.126882101121228,-0.830505196647104,-0.554718224556201
"PDAC_111T",-0.321491489529984,-0.299482760453668,-0.378226100376226,-0.321799858027948,-0.310011756980552,0.172452878936369,-0.610038810636334,-0.496103551912629,-0.356929326766756,-0.76521663176387,0.262181538057587
"PDAC_112T",-0.363558373961201,-0.556481982793139,-0.370622184346126,-0.458915805122886,-0.73858603410347,0.299890881032173,-0.743899792889678,-0.639273140759132,-0.864016210102526,-0.563308807716234,-1.09220324005877
"PDAC_113T",0.067863318184852,-0.414363576392696,0.411978440647088,-0.281228564093008,0.367329776921546,-0.624422376562287,-0.405488281930464,-0.458036721433375,-0.62873581670484,-0.25163563293946,-1.01777522787153
"PDAC_114T",0.167283568021945,-0.625860568709571,-0.320391181924843,-0.319170237124758,0.378924860923965,-1.1423169753431,1.00542373314695,0.0215893816700125,-0.896723508553512,-0.567169057053803,-1.06653006118493
"PDAC_115T",-0.12923347643519,-0.296816953727657,-0.308311785372749,-0.286487805899389,-0.445102807439362,0.0267909840459328,2.64002225343799,-1.01012547039664,-0.775335232248394,-0.282349790712292,0.460048700359857
"PDAC_116T",0.449008181269762,0.394892280631979,0.329112211298431,-0.314662315576431,1.28023459634648,-0.984505818589578,0.854465295325404,-0.0693081443590654,1.2095911524484,1.70668563970212,-0.863294741125895
"PDAC_117T",-0.551355408292477,-0.337393236539147,-0.402134235956522,2.05913403974662,2.34903504278959,-0.249249292806108,0.42983968011776,-0.00442694272461385,0.885311548022467,-0.0911835300387615,-0.486783262599945
"PDAC_118T",0.151822716541871,1.76988834549226,5.38751689597116,-0.455159203832614,2.47663644568703,-0.196160895888409,0.529534142891237,0.609590234858991,0.0868645141611596,-0.574721718801221,0.828016691739768
"PDAC_119T",-0.209443908925801,-0.617969394451778,-0.264678242053575,0.260097681835226,0.348577918582705,0.312427885295147,0.542287675008867,1.73587362805335,-0.632731411002096,0.0665831820184105,1.73996274885324
"PDAC_120T",-0.347312855206762,-0.499823931145389,-0.282262537050208,-0.239154629641958,-0.7271019078427,-0.13444523057325,-0.778543292199411,0.712777681000868,-0.498224856075015,-0.117701764618584,-0.228542124465665
"PDAC_121T",0.977350812675302,-0.352528450813273,0.467823406237046,-0.361995491833862,1.17260558694603,-0.526840539257691,0.117207793296587,0.430269127758606,-0.086431128766712,-0.728796018448544,1.17015487364815
"PDAC_122T",-0.746505065602059,4.20537323386369,0.0756898009797173,-0.345090786027636,1.73726953420261,-0.761360067455293,-0.309870861036087,2.21095086462148,-0.167686665891431,0.208069712086704,-0.826771333576578
"PDAC_123T",3.32245973999316,-0.62286636550282,-0.220853357113111,-0.407074707317129,3.21744580781289,-0.251414187872137,1.65434911334948,-0.222533122388767,-0.626508184486016,-0.341428389269871,1.02484439643927
"PDAC_124T",-0.321491489529984,-0.0676058688908419,-0.331469861797585,-0.111805845901728,0.207051319108198,-0.249249292806108,1.01774571208518,-0.97509121760756,1.60306879262415,1.20283918268549,-1.04417460315279
"PDAC_125T",-0.062827375623218,-0.607576611708345,-0.344316538251055,-0.189943152739392,-0.112839850068597,-0.164818385230972,-0.535062124046314,-0.587001077941707,-0.790115395224082,-0.327162250413638,-0.800685219490671
"PDAC_126T",1.64443424288888,-0.488977188560932,-0.139322692281064,-0.46793164821954,0.964781736835682,-0.746108866393118,0.669277876379604,0.756430838804122,-0.342149163791068,-0.380702230356444,3.13270778425532
"PDAC_127T",7.74042711217524,-0.36174286971405,-0.242905478966886,-0.136223754288498,-0.888878295168322,1.52463987480482,2.2597103357575,-0.804229406169232,0.271475114390994,-0.282349790712292,0.0574083903122693
"PDAC_128T",1.09179598772893,-0.568091764259316,-0.34154399815855,-0.231641427061414,1.41748932276746,-0.454785076612245,0.820809825663253,0.212162948094453,0.846628537746382,-0.684822743385801,-0.233554303591341
"PDAC_129T",-0.742465482226626,1.50508487737519,0.997453187137793,0.0902993035149196,0.419258000013721,-0.633663570426233,-0.125802073357951,1.40795621413458,-0.156159553140057,0.386480366253485,-0.131459632196172
"PDAC_130T",0.671272452171278,-0.430387392908826,-0.253909535607324,2.22630279716373,0.938040921098045,-1.02405554337793,0.12763888790927,3.91717483872305,-0.719609067536228,1.7838906264535,0.274156659207286
